Diag Code,
906,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes"
907,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes"
908,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes"
909,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes"
910,Superficial Injury
911,Superficial Injury
912,Superficial Injury
913,Superficial Injury
914,Superficial Injury
915,Superficial Injury
916,Superficial Injury
917,Superficial Injury
918,Superficial Injury
919,Superficial Injury
920,Contusion With Intact Skin Surface
921,Contusion With Intact Skin Surface
922,Contusion With Intact Skin Surface
923,Contusion With Intact Skin Surface
924,Contusion With Intact Skin Surface
927,Crushing Injury
928,Crushing Injury
930,Effects Of Foreign Body Entering Through Orifice
933,Effects Of Foreign Body Entering Through Orifice
934,Effects Of Foreign Body Entering Through Orifice
935,Effects Of Foreign Body Entering Through Orifice
936,Effects Of Foreign Body Entering Through Orifice
939,Effects Of Foreign Body Entering Through Orifice
941,Burns
942,Burns
943,Burns
944,Burns
945,Burns
947,Burns
948,Burns
951,Injury To Nerves And Spinal Cord
952,Injury To Nerves And Spinal Cord
953,Injury To Nerves And Spinal Cord
955,Injury To Nerves And Spinal Cord
956,Injury To Nerves And Spinal Cord
957,Injury To Nerves And Spinal Cord
958,Certain Traumatic Complications And Unspecified Injuries
959,Certain Traumatic Complications And Unspecified Injuries
962,"Poisoning By Drugs, Medicinals And Biological Substances"
963,"Poisoning By Drugs, Medicinals And Biological Substances"
964,"Poisoning By Drugs, Medicinals And Biological Substances"
965,"Poisoning By Drugs, Medicinals And Biological Substances"
966,"Poisoning By Drugs, Medicinals And Biological Substances"
967,"Poisoning By Drugs, Medicinals And Biological Substances"
968,"Poisoning By Drugs, Medicinals And Biological Substances"
969,"Poisoning By Drugs, Medicinals And Biological Substances"
970,"Poisoning By Drugs, Medicinals And Biological Substances"
971,"Poisoning By Drugs, Medicinals And Biological Substances"
972,"Poisoning By Drugs, Medicinals And Biological Substances"
973,"Poisoning By Drugs, Medicinals And Biological Substances"
974,"Poisoning By Drugs, Medicinals And Biological Substances"
975,"Poisoning By Drugs, Medicinals And Biological Substances"
976,"Poisoning By Drugs, Medicinals And Biological Substances"
977,"Poisoning By Drugs, Medicinals And Biological Substances"
980,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
982,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
983,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
986,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
987,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
988,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
990,Other And Unspecified Effects Of External Causes
991,Other And Unspecified Effects Of External Causes
992,Other And Unspecified Effects Of External Causes
994,Other And Unspecified Effects Of External Causes
995,Other And Unspecified Effects Of External Causes
996,"Complications Of Surgical And Medical Care, Not Elsewhere Classified"
997,"Complications Of Surgical And Medical Care, Not Elsewhere Classified"
998,"Complications Of Surgical And Medical Care, Not Elsewhere Classified"
999,"Complications Of Surgical And Medical Care, Not Elsewhere Classified"
E812,Motor Vehicle Traffic Accidents
E813,Motor Vehicle Traffic Accidents
E814,Motor Vehicle Traffic Accidents
E815,Motor Vehicle Traffic Accidents
E816,Motor Vehicle Traffic Accidents
E817,Motor Vehicle Traffic Accidents
E818,Motor Vehicle Traffic Accidents
E819,Motor Vehicle Traffic Accidents
E821,Motor Vehicle Nontraffic Accidents
E822,Motor Vehicle Nontraffic Accidents
E825,Motor Vehicle Nontraffic Accidents
E826,Other Road Vehicle Accidents
E828,Other Road Vehicle Accidents
E829,Other Road Vehicle Accidents
E849,"Vehicle Accidents, Not Elsewhere Classifiable"
E850,"Accidental Poisoning By Drugs, Medicinal Substances, And Biologicals"
E852,"Accidental Poisoning By Drugs, Medicinal Substances, And Biologicals"
E853,"Accidental Poisoning By Drugs, Medicinal Substances, And Biologicals"
E854,"Accidental Poisoning By Drugs, Medicinal Substances, And Biologicals"
E855,"Accidental Poisoning By Drugs, Medicinal Substances, And Biologicals"
E858,"Accidental Poisoning By Drugs, Medicinal Substances, And Biologicals"
E861,"Accidental Poisoning By Other Solid And Liquid Substances, Gases, And Vapors"
E864,"Accidental Poisoning By Other Solid And Liquid Substances, Gases, And Vapors"
E865,"Accidental Poisoning By Other Solid And Liquid Substances, Gases, And Vapors"
E868,"Accidental Poisoning By Other Solid And Liquid Substances, Gases, And Vapors"
E870,Misadventures To Patients During Surgical And Medical Care
E876,Misadventures To Patients During Surgical And Medical Care
E878,Surgical And Medical Procedures As The Cause Of Abnormal Reaction
E879,Surgical And Medical Procedures As The Cause Of Abnormal Reaction
E880,Accidental Falls
E881,Accidental Falls
E882,Accidental Falls
E883,Accidental Falls
E884,Accidental Falls
E885,Accidental Falls
E886,Accidental Falls
E887,Accidental Falls
E888,Accidental Falls
E890,Accidents Caused By Fire And Flames
E892,Accidents Caused By Fire And Flames
E894,Accidents Caused By Fire And Flames
E900,Accidents Due To Natural And Environmental Factors
E901,Accidents Due To Natural And Environmental Factors
E904,Accidents Due To Natural And Environmental Factors
E905,Accidents Due To Natural And Environmental Factors
E906,Accidents Due To Natural And Environmental Factors
E909,Accidents Due To Natural And Environmental Factors
E912,"Accidents Caused By Submersion, Suffocation, And Foreign Bodies"
E915,"Accidents Caused By Submersion, Suffocation, And Foreign Bodies"
E916,Other Accidents
E917,Other Accidents
E918,Other Accidents
E919,Other Accidents
E920,Other Accidents
E922,Other Accidents
E924,Other Accidents
E927,Other Accidents
E928,Other Accidents
E929,Late Effects Of Accidental Injury
E930,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E931,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E932,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E933,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E934,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E935,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E936,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E937,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E938,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E939,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E941,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E942,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E943,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E944,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E945,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E946,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E947,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E949,"Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use"
E950,Suicide And Self-Inflicted Injury
E955,Suicide And Self-Inflicted Injury
E956,Suicide And Self-Inflicted Injury
E965,Homicide And Injury Purposely Inflicted By Other Persons
E966,Homicide And Injury Purposely Inflicted By Other Persons
E968,Homicide And Injury Purposely Inflicted By Other Persons
E980,Injury Undetermined Whether Accidentally Or Purposely Inflicted
E987,Injury Undetermined Whether Accidentally Or Purposely Inflicted
V01,Persons With Potential Health Hazards Related To Communicable Diseases
V02,Persons With Potential Health Hazards Related To Communicable Diseases
V03,Persons With Potential Health Hazards Related To Communicable Diseases
V06,Persons With Potential Health Hazards Related To Communicable Diseases
V07,Persons With Potential Health Hazards Related To Communicable Diseases
V08,Persons With Potential Health Hazards Related To Communicable Diseases
V09,Persons With Potential Health Hazards Related To Communicable Diseases
V10,Persons With Potential Health Hazards Related To Personal And Family History
V11,Persons With Potential Health Hazards Related To Personal And Family History
V12,Persons With Potential Health Hazards Related To Personal And Family History
V13,Persons With Potential Health Hazards Related To Personal And Family History
V14,Persons With Potential Health Hazards Related To Personal And Family History
V15,Persons With Potential Health Hazards Related To Personal And Family History
V16,Persons With Potential Health Hazards Related To Personal And Family History
V17,Persons With Potential Health Hazards Related To Personal And Family History
V18,Persons With Potential Health Hazards Related To Personal And Family History
V22,Persons Encountering Health Services In Circumstances Related To Reproduction And Development
V23,Persons Encountering Health Services In Circumstances Related To Reproduction And Development
V25,Persons Encountering Health Services In Circumstances Related To Reproduction And Development
V26,Persons Encountering Health Services In Circumstances Related To Reproduction And Development
V27,Persons Encountering Health Services In Circumstances Related To Reproduction And Development
V42,Persons With A Condition Influencing Their Health Status
V43,Persons With A Condition Influencing Their Health Status
V44,Persons With A Condition Influencing Their Health Status
V45,Persons With A Condition Influencing Their Health Status
V46,Persons With A Condition Influencing Their Health Status
V49,Persons With A Condition Influencing Their Health Status
V50,Persons Encountering Health Services For Specific Procedures And Aftercare
V51,Persons Encountering Health Services For Specific Procedures And Aftercare
V53,Persons Encountering Health Services For Specific Procedures And Aftercare
V54,Persons Encountering Health Services For Specific Procedures And Aftercare
V55,Persons Encountering Health Services For Specific Procedures And Aftercare
V56,Persons Encountering Health Services For Specific Procedures And Aftercare
V57,Persons Encountering Health Services For Specific Procedures And Aftercare
V58,Persons Encountering Health Services For Specific Procedures And Aftercare
V60,Persons Encountering Health Services In Other Circumstances
V61,Persons Encountering Health Services In Other Circumstances
V62,Persons Encountering Health Services In Other Circumstances
V63,Persons Encountering Health Services In Other Circumstances
V64,Persons Encountering Health Services In Other Circumstances
V65,Persons Encountering Health Services In Other Circumstances
V66,Persons Encountering Health Services In Other Circumstances
V67,Persons Encountering Health Services In Other Circumstances
V69,Persons Encountering Health Services In Other Circumstances
V70,Persons Without Reported Diagnosis Encountered During Examination And Investigation Of Individuals And Populations
V71,Persons Without Reported Diagnosis Encountered During Examination And Investigation Of Individuals And Populations
V72,Persons Without Reported Diagnosis Encountered During Examination And Investigation Of Individuals And Populations
V85,BMI
V86,Estrogen Receptor Status
